author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground;residential_complex
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302091753/;Москва;rent;flat;18;28;1;33.0;75000;0;Можайский;переулок 2-й Петра Алексеева;5;Кунцевская;
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301681276/;Москва;rent;flat;5;19;1;37.4;79000;0;Можайский;Рябиновая ;3к3;Рабочий посёлок;
Ма-Трёшка;real_estate_agent;https://www.cian.ru/rent/flat/302222519/;Москва;rent;flat;1;25;1;16.0;25000;0;; Бачуринская;13;Коммунарка;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/300946117/;Москва;rent;flat;7;8;1;55.0;280000;0;Якиманка;Софийская набережная;34;Новокузнецкая;
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302372463/;Москва;rent;flat;24;30;1;30.0;100000;0;Тимирязевский;Дмитровский проезд;1;Дмитровская;
Профриелтинвест;real_estate_agent;https://www.cian.ru/rent/flat/296664284/;Москва;rent;flat;4;8;1;18.0;25000;0;Таганский;Нижегородская ;32С3;Калитники;
ID 18428847;unknown;https://www.cian.ru/rent/flat/301272392/;Москва;rent;flat;7;21;1;42.0;87000;0;Черемушки;Нахимовский проспект;31к3;Новые Черёмушки;
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302374571/;Москва;rent;flat;24;90;1;33.0;100000;0;Тимирязевский;Дмитровский проезд;1;Дмитровская;
Сергей Яковлев;realtor;https://www.cian.ru/rent/flat/260521042/;Москва;rent;flat;2;5;1;32.0;25000;0;;;15;Саларьево;
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301810087/;Москва;rent;flat;4;9;1;35.4;48000;0;Гольяново;Красноярская ;9;Щёлковская;
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302029891/;Москва;rent;flat;2;18;1;45.0;65000;0;; Большое Понизовье;10;Филатов Луг;
Елена Иванова;realtor;https://www.cian.ru/rent/flat/302345573/;Москва;rent;flat;2;5;1;28.1;25000;0;;;9;Силикатная;
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302196021/;Москва;rent;flat;7;17;1;42.0;60000;0;Раменки;Мичуринский проспект;9К2;Ломоносовский проспект;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301914259/;Москва;rent;flat;13;14;1;40.0;80000;0;Аэропорт; Черняховского;9К5;Аэропорт;
Ма-Трёшка;real_estate_agent;https://www.cian.ru/rent/flat/279653541/;Москва;rent;flat;1;19;1;24.0;39999;0;; Александры Монаховой;84к1;Бунинская аллея;
Point Estate Город;real_estate_agent;https://www.cian.ru/rent/flat/302462192/;Москва;rent;flat;24;59;1;28.0;100000;0;Тимирязевский;Дмитровский проезд;1;Дмитровская;
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301852575/;Москва;rent;flat;9;12;1;34.7;44000;0;Головинский;Зеленоградская ;7;Моссельмаш;
YU HOME;real_estate_agent;https://www.cian.ru/rent/flat/290694763/;Москва;rent;flat;8;8;1;34.0;29000;0;Сокол;Факультетский переулок;3;Стрешнево;
Оксана Волкова;realtor;https://www.cian.ru/rent/flat/255067481/;Москва;rent;flat;2;24;1;28.0;50000;0;Дмитровский;Дмитровское шоссе;107к2;Селигерская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301542742/;Москва;rent;flat;4;6;1;33.0;122500;0;Таганский;Большой Факельный переулок;9/11;Марксистская;
ЕГСН Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301029990/;Москва;rent;flat;1;12;1;34.0;33000;0;Пресненский; Трехгорный Вал;1;Улица 1905 года;
Князев и Партнёры;real_estate_agent;https://www.cian.ru/rent/flat/302214647/;Москва;rent;flat;2;2;1;29.3;80000;0;Текстильщики;Грайвороновская ;4С2;Текстильщики;
ID 70013902;homeowner;https://www.cian.ru/rent/flat/252845120/;Москва;rent;flat;8;8;1;14.0;43000;0;Западное Дегунино;Дмитровское шоссе;81;Селигерская;
Метрика;real_estate_agent;https://www.cian.ru/rent/flat/293712240/;Москва;rent;flat;2;19;1;19.0;27999;0;Некрасовка; Вертолетчиков;4к8;Некрасовка;
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301805246/;Москва;rent;flat;24;24;1;43.0;101900;0;Даниловский;Автозаводская ;23Бк2;ЗИЛ;
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302230688/;Москва;rent;flat;9;19;1;45.0;42000;0;Некрасовка;Покровская ;17к3;Некрасовка;
Мария Александрова;realtor;https://www.cian.ru/rent/flat/264922927/;Москва;rent;flat;13;16;1;35.0;30000;0;Лианозово;Новгородская ;24;Алтуфьево;
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302487515/;Москва;rent;flat;5;20;1;40.0;120000;0;Филевский парк;Большая Филевская ;3к4;Фили;
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302348232/;Москва;rent;flat;7;43;1;32.0;70000;0;Раменки; Василия Ланового;1к1;Аминьевская;
Метрика;real_estate_agent;https://www.cian.ru/rent/flat/302371228/;Москва;rent;flat;5;5;1;23.0;30000;0;Царицыно;Кавказский бульвар;47К2;Кантемировская;
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302218816/;Москва;rent;flat;1;15;1;40.0;70000;0;Тверской;Селезневская ;34К1;Достоевская;
Вертикаль;real_estate_agent;https://www.cian.ru/rent/flat/302406717/;Москва;rent;flat;17;25;1;53.0;100000;0;Алексеевский;Староалексеевская ;5А;Алексеевская;
Ма-Трёшка;real_estate_agent;https://www.cian.ru/rent/flat/245947706/;Москва;rent;flat;5;15;1;14.0;31999;0;Дмитровский;Дмитровское шоссе;107Ак5;Селигерская;
Вертикаль;real_estate_agent;https://www.cian.ru/rent/flat/302222220/;Москва;rent;flat;8;19;1;30.0;85000;0;Можайский;Рябиновая ;3к3;Рабочий посёлок;
Вертикаль;real_estate_agent;https://www.cian.ru/rent/flat/302461855/;Москва;rent;flat;10;24;1;55.0;85000;0;Фили-Давыдково; Ватутина;11;Давыдково;
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302438046/;Москва;rent;flat;8;14;1;20.0;32000;0;Марфино;Ботаническая ;33Вс1;Окружная;
Ма-Трёшка;real_estate_agent;https://www.cian.ru/rent/flat/300444186/;Москва;rent;flat;13;14;1;26.0;64999;0;Сокол;Балтийская ;15;Сокол;
DOORS AGENCY;real_estate_agent;https://www.cian.ru/rent/flat/301836382/;Москва;rent;flat;5;26;1;34.2;55000;0;Солнцево;Боровское шоссе;2к6;Говорово;
Ирина Астахова;realtor;https://www.cian.ru/rent/flat/272382898/;Москва;rent;flat;3;16;1;21.0;35000;0;; Василия Ощепкова;4;Коммунарка;
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302488383/;Москва;rent;flat;12;16;1;39.0;57700;0;Ростокино;проспект Мира;163К1;Улица Сергея Эйзенштейна;
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302384952/;Москва;rent;flat;9;12;1;38.0;42000;0;Текстильщики;Грайвороновская ;14К1;Текстильщики;
Ренат Ашибеков;realtor;https://www.cian.ru/rent/flat/267081975/;Москва;rent;flat;13;22;1;38.0;35000;0;Чертаново Северное;Кировоградская ;2;Чертановская;
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/301124293/;Москва;rent;flat;2;53;1;30.0;110000;0;Пресненский;Шмитовский проезд;39к8;Шелепиха;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302337780/;Москва;rent;flat;2;9;1;23.0;31700;0;; Усадебный Парк;5;Филатов Луг;
Людмила Игнатова;realtor;https://www.cian.ru/rent/flat/302299939/;Москва;rent;flat;1;9;1;39.0;35000;0;Восточное Дегунино;Дубнинская ;20К4;Дегунино;
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/300561092/;Москва;rent;flat;9;18;1;25.0;65000;0;Беговой;Ленинградский проспект;29к3;Динамо;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/300667719/;Москва;rent;flat;5;18;1;33.5;39800;0;Южное Бутово;Варшавское шоссе;282к1;Бульвар Дмитрия Донского;
ID 12856;realtor;https://www.cian.ru/rent/flat/302307781/;Москва;rent;flat;9;9;1;34.0;35000;0;Гольяново;Байкальская ;30К2;Щёлковская;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301731220/;Москва;rent;flat;9;17;1;21.4;29700;0;;проспект Куприна;18к1;Бунинская аллея;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302200422/;Москва;rent;flat;9;17;1;38.8;49500;0;; Александры Монаховой;91к1;Бунинская аллея;
Каскад;real_estate_agent;https://www.cian.ru/rent/flat/300738067/;Москва;rent;flat;2;14;1;25.0;28000;0;; Логинова;5к2;Щербинка;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302170017/;Москва;rent;flat;9;17;1;21.3;45000;0;;проспект Куприна;18к2;Бунинская аллея;
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302384813/;Москва;rent;flat;9;16;1;36.0;58000;0;Орехово-Борисово Южное;Ясеневая ;12к5;Зябликово;
Ирина Якимова;realtor;https://www.cian.ru/rent/flat/287947788/;Москва;rent;flat;8;9;1;35.0;35000;0;; Золотошвейная;2;Филатов Луг;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301921686/;Москва;rent;flat;22;22;1;38.7;48500;0;; Большое Понизовье;3;Филатов Луг;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/299693636/;Москва;rent;flat;8;9;1;39.5;33000;0;; Усадебный Парк;5;Филатов Луг;
Антон Осмелкин;realtor;https://www.cian.ru/rent/flat/302333219/;Москва;rent;flat;4;5;1;31.0;33000;0;Кузьминки; Федора Полетаева;2К5;Окская;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302462400/;Москва;rent;flat;5;16;1;21.5;43900;0;;проспект Прокшинский;10;Прокшино;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302312136/;Москва;rent;flat;2;15;1;34.7;41900;0;Крюково;проспект Георгиевский;33Ак2;Зеленоград — Крюково;
MOTYLEK - департамент недвижимости;real_estate_agent;https://www.cian.ru/rent/flat/302201470/;Москва;rent;flat;6;22;1;36.0;33000;0;Перово;Кусковская ;5;Перово;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302040129/;Москва;rent;flat;3;15;1;23.3;35000;0;; Александры Монаховой;98к1;Бунинская аллея;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301737179/;Москва;rent;flat;12;15;1;32.6;83000;0;Хорошевский;Ходынский бульвар;2;ЦСКА;
ШАНС;real_estate_agent;https://www.cian.ru/rent/flat/301905104/;Москва;rent;flat;4;17;1;32.0;23000;0;Крюково;Зеленоград;к1454;Зеленоград — Крюково;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301449191/;Москва;rent;flat;11;17;1;35.1;47500;0;;проспект Куприна;18к2;Бунинская аллея;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301856881/;Москва;rent;flat;27;33;1;20.0;41900;0;Западное Дегунино;Ижорская ;6к6;Ховрино;
Наталья Шамонаева;realtor;https://www.cian.ru/rent/flat/297002437/;Москва;rent;flat;5;12;1;40.0;37000;0;Нагатинский затон;Коломенская ;9;Нагатинский Затон;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/300941435/;Москва;rent;flat;23;33;1;32.1;65900;0;Очаково-Матвеевское;Очаковское шоссе;5к4;Давыдково;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302200423/;Москва;rent;flat;3;23;1;20.0;45000;0;Царицыно;Кавказский бульвар;51к2;Кантемировская;
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302435266/;Москва;rent;flat;3;9;1;39.0;36000;0;Ховрино;Клинская ;11;Беломорская;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302356748/;Москва;rent;flat;16;17;1;23.0;43000;0;; Александры Монаховой;85к2;Бунинская аллея;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/300080869/;Москва;rent;flat;2;17;1;23.3;42000;0;;проспект Магеллана;29;Филатов Луг;
ID 82402295;homeowner;https://www.cian.ru/rent/flat/302298138/;Москва;rent;flat;11;17;1;39.0;50000;0;Москворечье-Сабурово;Кантемировская ;16к1А;Кантемировская;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/300507706/;Москва;rent;flat;5;9;1;35.6;40900;0;;проспект Новосередневский;17к1;Филатов Луг;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302275372/;Москва;rent;flat;7;17;1;33.1;40000;0;;проспект Куприна;24к3;Бунинская аллея;
Столичный Проспект;real_estate_agent;https://www.cian.ru/rent/flat/302376855/;Москва;rent;flat;9;9;1;34.0;27000;0;Восточный; Главная;25;Щёлковская;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302144622/;Москва;rent;flat;13;25;1;37.0;78200;0;Щукино; Берзарина;32;Щукинская;
Liberty Estate;real_estate_agent;https://www.cian.ru/rent/flat/302488472/;Москва;rent;flat;30;46;1;33.0;85000;0;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;
Раиса Макарова;realtor;https://www.cian.ru/rent/flat/302453712/;Москва;rent;flat;2;9;1;33.8;27000;0;Северное Медведково;проезд Шокальского;36К2;Медведково;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/300939365/;Москва;rent;flat;12;33;1;19.0;53000;0;Головинский;Кронштадтский бульвар;8к1;Водный стадион;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302080677/;Москва;rent;flat;5;9;1;33.6;40000;0;;проспект Новосередневский;17к1;Филатов Луг;
Светлана Джавриева;realtor;https://www.cian.ru/rent/flat/251920052/;Москва;rent;flat;2;5;1;13.0;28000;0;Гольяново;Щелковское шоссе;57К2;Щёлковская;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301790895/;Москва;rent;flat;3;25;1;35.4;48000;0;Кунцево;№ 100 кв-л;1к1;Павшино;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301974357/;Москва;rent;flat;8;9;1;35.7;40900;0;; Усадебный Парк;5;Филатов Луг;
Вячеслав Гордеев;realtor;https://www.cian.ru/rent/flat/302379250/;Москва;rent;flat;2;5;1;33.0;35000;0;Головинский;Ленинградское шоссе;82;Речной вокзал;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301658377/;Москва;rent;flat;12;13;1;36.6;72000;0;Покровское-Стрешнево;Волоколамское шоссе;71/22к2;Спартак;
